Date,Open,High,Low,Close,Adj Close,Volume
5/21/2019,39.551998,41.480000,39.208000,41.015999,41.015999,90019500
5/22/2019,39.820000,40.787998,38.355999,38.546001,38.546001,93426000
5/23/2019,38.868000,39.894001,37.243999,39.098000,39.098000,132735500
5/24/2019,39.966000,39.995998,37.750000,38.125999,38.125999,70683000
5/28/2019,38.240002,39.000000,37.570000,37.740002,37.740002,51564500
5/29/2019,37.419998,38.478001,37.007999,37.972000,37.972000,59843000
5/30/2019,37.750000,38.452000,37.403999,37.644001,37.644001,39632500
5/31/2019,37.020000,37.984001,36.820000,37.032001,37.032001,52033500
6/3/2019,37.102001,37.335999,35.397999,35.793999,35.793999,65322000
6/4/2019,36.220001,38.796001,35.922001,38.720001,38.720001,69037500
6/5/2019,39.736000,40.256001,38.369999,39.318001,39.318001,67554000
6/6/2019,40.888000,42.200001,40.360001,41.189999,41.189999,101211000
6/7/2019,41.000000,42.167999,40.700001,40.900002,40.900002,80017500
6/10/2019,42.049999,43.388000,41.801998,42.576000,42.576000,52925000
6/11/2019,43.827999,44.180000,42.700001,43.419998,43.419998,58267500
6/12/2019,44.590000,44.675999,41.799999,41.852001,41.852001,75987500
6/13/2019,42.076000,42.980000,41.501999,42.782001,42.782001,40841500
6/14/2019,42.250000,43.330002,42.080002,42.984001,42.984001,37167000
6/17/2019,43.096001,45.400002,42.854000,45.006001,45.006001,61584000
6/18/2019,45.743999,46.948002,44.512001,44.948002,44.948002,63579000
6/19/2019,45.021999,45.554001,44.212002,45.285999,45.285999,32875500
6/20/2019,44.599998,45.380001,43.270000,43.924000,43.924000,59317500
6/21/2019,43.243999,44.436001,43.099998,44.372002,44.372002,41010500
6/24/2019,44.647999,45.172001,44.203999,44.728001,44.728001,28754000
6/25/2019,44.877998,45.068001,43.897999,43.952000,43.952000,30910500
6/26/2019,44.062000,45.445999,43.619999,43.854000,43.854000,42536000
6/27/2019,43.889999,44.580002,43.470001,44.568001,44.568001,31698500
6/28/2019,44.198002,45.034000,44.160000,44.692001,44.692001,34257000
7/1/2019,46.042000,46.619999,45.256001,45.433998,45.433998,41067000
7/2/2019,45.778000,45.830002,44.444000,44.910000,44.910000,46295000
7/3/2019,47.877998,48.313999,46.902000,46.980000,46.980000,71005500
7/5/2019,46.914001,47.090000,46.160000,46.619999,46.619999,35328500
7/8/2019,46.248001,46.450001,45.731998,46.068001,46.068001,29402500
7/9/2019,45.793999,46.200001,45.456001,46.012001,46.012001,30954000
7/10/2019,46.830002,47.787998,46.627998,47.784000,47.784000,45728500
7/11/2019,47.627998,48.299999,47.160000,47.720001,47.720001,37572000
7/12/2019,47.950001,49.076000,47.942001,49.015999,49.015999,46002500
7/15/2019,49.599998,50.883999,48.972000,50.700001,50.700001,55000500
7/16/2019,49.860001,50.706001,49.585999,50.476002,50.476002,40745000
7/17/2019,51.133999,51.661999,50.669998,50.972000,50.972000,48823500
7/18/2019,51.009998,51.150002,50.377998,50.708000,50.708000,23793000
7/19/2019,51.138000,51.992001,50.924000,51.636002,51.636002,35242000
7/22/2019,51.750000,52.430000,50.838001,51.136002,51.136002,34212000
7/23/2019,51.341999,52.096001,50.900002,52.034000,52.034000,25115500
7/24/2019,51.834000,53.214001,51.632000,52.976002,52.976002,55364000
7/25/2019,46.700001,46.900002,45.110001,45.764000,45.764000,112091500
7/26/2019,45.383999,46.051998,44.450001,45.608002,45.608002,50138500
7/29/2019,45.417999,47.188000,45.206001,47.153999,47.153999,46366500
7/30/2019,46.580002,48.672001,46.436001,48.452000,48.452000,40545000
7/31/2019,48.599998,49.335999,47.330002,48.321999,48.321999,45891000
8/1/2019,48.529999,48.902000,46.354000,46.770000,46.770000,41297500
8/2/2019,46.270000,47.254002,45.846001,46.868000,46.868000,30682500
8/5/2019,45.919998,46.273998,45.155998,45.664001,45.664001,35141500
8/6/2019,46.375999,46.500000,45.150002,46.150002,46.150002,27821000
8/7/2019,45.299999,46.714001,45.160000,46.683998,46.683998,23882500
8/8/2019,46.889999,47.959999,46.529999,47.660000,47.660000,26371500
8/9/2019,47.209999,47.792000,46.762001,47.001999,47.001999,19491000
8/12/2019,46.598000,47.153999,45.750000,45.801998,45.801998,23319500
8/13/2019,45.762001,47.200001,45.509998,47.000000,47.000000,24240500
8/14/2019,46.242001,46.299999,43.338001,43.924000,43.924000,47813000
8/15/2019,44.172001,44.312000,42.310001,43.127998,43.127998,40798000
8/16/2019,43.332001,44.448002,43.203999,43.987999,43.987999,25492500
8/19/2019,44.841999,45.566002,44.340000,45.366001,45.366001,26548000
8/20/2019,45.523998,45.818001,44.908001,45.172001,45.172001,20626000
8/21/2019,44.402000,44.644001,43.520000,44.166000,44.166000,38971500
8/22/2019,44.560001,45.080002,43.644001,44.430000,44.430000,32795000
8/23/2019,43.993999,44.234001,42.200001,42.279999,42.279999,42693000
8/26/2019,42.720001,43.004002,42.307999,43.000000,43.000000,25259500
8/27/2019,43.147999,43.759998,42.405998,42.816002,42.816002,27081000
8/28/2019,42.737999,43.450001,42.462002,43.118000,43.118000,16127500
8/29/2019,43.799999,44.680000,43.599998,44.341999,44.341999,25897500
8/30/2019,45.830002,46.487999,44.841999,45.122002,45.122002,46603000
9/3/2019,44.816002,45.790001,44.632000,45.001999,45.001999,26770500
9/4/2019,45.377998,45.692001,43.841999,44.136002,44.136002,28805000
9/5/2019,44.500000,45.959999,44.169998,45.916000,45.916000,36976500
9/6/2019,45.439999,45.928001,45.034000,45.490002,45.490002,20947000
9/9/2019,46.000000,46.751999,45.846001,46.358002,46.358002,24013500
9/10/2019,46.160000,47.108002,45.787998,47.108002,47.108002,24418500
9/11/2019,47.476002,49.633999,47.200001,49.419998,49.419998,50214000
9/12/2019,49.540001,50.700001,48.880001,49.174000,49.174000,42906000
9/13/2019,49.391998,49.689999,48.973999,49.040001,49.040001,26565500
9/16/2019,49.200001,49.486000,48.234001,48.562000,48.562000,23640500
9/17/2019,48.493999,49.119999,48.074001,48.958000,48.958000,19327000
9/18/2019,49.000000,49.633999,48.473999,48.698002,48.698002,20851000
9/19/2019,49.200001,49.588001,48.967999,49.320000,49.320000,23979000
9/20/2019,49.298000,49.389999,47.632000,48.124001,48.124001,31765000
9/23/2019,48.000000,49.035999,47.844002,48.245998,48.245998,21701000
9/24/2019,48.304001,48.397999,44.521999,44.641998,44.641998,64457500
9/25/2019,44.911999,45.796001,43.672001,45.740002,45.740002,47135500
9/26/2019,46.132000,48.661999,45.480000,48.512001,48.512001,59422500
9/27/2019,48.439999,49.742001,47.745998,48.425999,48.425999,55582000
9/30/2019,48.599998,48.796001,47.222000,48.174000,48.174000,29399000
10/1/2019,48.299999,49.189999,47.826000,48.938000,48.938000,30813000
10/2/2019,48.658001,48.930000,47.886002,48.625999,48.625999,28157000
10/3/2019,46.372002,46.896000,44.855999,46.605999,46.605999,75422500
10/4/2019,46.321999,46.956001,45.613998,46.285999,46.285999,39975000
10/7/2019,45.959999,47.712002,45.709999,47.543999,47.543999,40321000
10/8/2019,47.174000,48.787998,46.900002,48.009998,48.009998,43391000
10/9/2019,48.264000,49.459999,48.130001,48.905998,48.905998,34472000
